sample	file_name	type	day
C284-d2-WRC_R1	NS.2055.003.IDT_i7_80---IDT_i5_80.C284-d2-WRC_R1	rumen	2
C284-d2-WRC_R2	NS.2055.003.IDT_i7_80---IDT_i5_80.C284-d2-WRC_R2	rumen	2
C284-d7-M_R1	NS.2055.002.IDT_i7_14---IDT_i5_14.C284-d7-M_R1	milk	7
C284-d7-M_R2	NS.2055.002.IDT_i7_14---IDT_i5_14.C284-d7-M_R2	milk	7
C284-d7-WRC_R1	NS.2055.003.IDT_i7_77---IDT_i5_77.C284-d7-WRC_R1	rumen	7
C284-d7-WRC_R2	NS.2055.003.IDT_i7_77---IDT_i5_77.C284-d7-WRC_R2	rumen	7
C603-d14-M_R1	NS.2055.002.IDT_i7_27---IDT_i5_27.C603-d14-M_R1	milk	14
C603-d14-M_R2	NS.2055.002.IDT_i7_27---IDT_i5_27.C603-d14-M_R2	milk	14
C603-d14-WRC_R1	NS.2055.002.IDT_i7_40---IDT_i5_40.C603-d14-WRC_R1	rumen	14
C603-d14-WRC_R2	NS.2055.002.IDT_i7_40---IDT_i5_40.C603-d14-WRC_R2	rumen	14
C603-d21-M_R1	NS.2055.002.IDT_i7_175---IDT_i5_175.C603-d21-M_R1	milk	21
C603-d21-M_R2	NS.2055.002.IDT_i7_175---IDT_i5_175.C603-d21-M_R2	milk	21
C603-d21-WRC_R1	NS.2055.003.IDT_i7_58---IDT_i5_58.C603-d21-WRC_R1	rumen	21
C603-d21-WRC_R2	NS.2055.003.IDT_i7_58---IDT_i5_58.C603-d21-WRC_R2	rumen	21
C603-d28-M_R1	NS.2055.003.IDT_i7_277---IDT_i5_277.C603-d28-M_R1	milk	28
C603-d28-M_R2	NS.2055.003.IDT_i7_277---IDT_i5_277.C603-d28-M_R2	milk	28
C603-d28-WRC_R1	NS.2055.003.IDT_i7_76---IDT_i5_76.C603-d28-WRC_R1	rumen	28
C603-d28-WRC_R2	NS.2055.003.IDT_i7_76---IDT_i5_76.C603-d28-WRC_R2	rumen	28
C603-d2-M_R1	NS.2055.002.IDT_i7_161---IDT_i5_161.C603-d2-M_R1	milk	2
C603-d2-M_R2	NS.2055.002.IDT_i7_161---IDT_i5_161.C603-d2-M_R2	milk	2
C603-d2-WRC_R1	NS.2055.003.IDT_i7_20---IDT_i5_20.C603-d2-WRC_R1	rumen	2
C603-d2-WRC_R2	NS.2055.003.IDT_i7_20---IDT_i5_20.C603-d2-WRC_R2	rumen	2
C603-d7-M_R1	NS.2055.002.IDT_i7_150---IDT_i5_150.C603-d7-M_R1	milk	7
C603-d7-M_R2	NS.2055.002.IDT_i7_150---IDT_i5_150.C603-d7-M_R2	milk	7
C603-d7-WRC_R1	NS.2055.003.IDT_i7_82---IDT_i5_82.C603-d7-WRC_R1	rumen	7
C603-d7-WRC_R2	NS.2055.003.IDT_i7_82---IDT_i5_82.C603-d7-WRC_R2	rumen	7
C618-d14-M_R1	NS.2055.002.IDT_i7_38---IDT_i5_38.C618-d14-M_R1	milk	14
C618-d14-M_R2	NS.2055.002.IDT_i7_38---IDT_i5_38.C618-d14-M_R2	milk	14
C618-d14-WRC_R1	NS.2055.003.IDT_i7_45---IDT_i5_45.C618-d14-WRC_R1	rumen	14
C618-d14-WRC_R2	NS.2055.003.IDT_i7_45---IDT_i5_45.C618-d14-WRC_R2	rumen	14
C618-d21-M_R1	NS.2055.002.IDT_i7_187---IDT_i5_187.C618-d21-M_R1	milk	21
C618-d21-M_R2	NS.2055.002.IDT_i7_187---IDT_i5_187.C618-d21-M_R2	milk	21
C618-d21-WRC_R1	NS.2055.002.IDT_i7_28---IDT_i5_28.C618-d21-WRC_R1	rumen	21
C618-d21-WRC_R2	NS.2055.002.IDT_i7_28---IDT_i5_28.C618-d21-WRC_R2	rumen	21
C618-d28-M_R1	NS.2055.003.IDT_i7_253---IDT_i5_253.C618-d28-M_R1	milk	28
C618-d28-M_R2	NS.2055.003.IDT_i7_253---IDT_i5_253.C618-d28-M_R2	milk	28
C618-d28-WRC_R1	NS.2055.003.IDT_i7_41---IDT_i5_41.C618-d28-WRC_R1	rumen	28
C618-d28-WRC_R2	NS.2055.003.IDT_i7_41---IDT_i5_41.C618-d28-WRC_R2	rumen	28
C618-d2-M_R1	NS.2055.002.IDT_i7_173---IDT_i5_173.C618-d2-M_R1	milk	2
C618-d2-M_R2	NS.2055.002.IDT_i7_173---IDT_i5_173.C618-d2-M_R2	milk	2
C618-d2-WRC_R1	NS.2055.003.IDT_i7_254---IDT_i5_254.C618-d2-WRC_R1	rumen	2
C618-d2-WRC_R2	NS.2055.003.IDT_i7_254---IDT_i5_254.C618-d2-WRC_R2	rumen	2
C618-d7-M_R1	NS.2055.002.IDT_i7_162---IDT_i5_162.C618-d7-M_R1	milk	7
C618-d7-M_R2	NS.2055.002.IDT_i7_162---IDT_i5_162.C618-d7-M_R2	milk	7
C618-d7-WRC_R1	NS.2055.003.IDT_i7_19---IDT_i5_19.C618-d7-WRC_R1	rumen	7
C618-d7-WRC_R2	NS.2055.003.IDT_i7_19---IDT_i5_19.C618-d7-WRC_R2	rumen	7
C830-d14-M_R1	NS.2055.002.IDT_i7_75---IDT_i5_75.C830-d14-M_R1	milk	14
C830-d14-M_R2	NS.2055.002.IDT_i7_75---IDT_i5_75.C830-d14-M_R2	milk	14
