sample	file_name	type	day
C847-d28-WRC_R1	NS.2055.003.IDT_i7_66---IDT_i5_66.C847-d28-WRC_R1	rumen	28
C847-d28-WRC_R2	NS.2055.003.IDT_i7_66---IDT_i5_66.C847-d28-WRC_R2	rumen	28
C847-d2-WRC_R1	NS.2055.002.IDT_i7_4---IDT_i5_4.C847-d2-WRC_R1	rumen	2
C847-d2-WRC_R2	NS.2055.002.IDT_i7_4---IDT_i5_4.C847-d2-WRC_R2	rumen	2
C847-d7-WRC_R1	NS.2055.003.IDT_i7_64---IDT_i5_64.C847-d7-WRC_R1	rumen	7
C847-d7-WRC_R2	NS.2055.003.IDT_i7_64---IDT_i5_64.C847-d7-WRC_R2	rumen	7
C9009-d14-WRC_R1	NS.2055.003.IDT_i7_69---IDT_i5_69.C9009-d14-WRC_R1	rumen	14
C9009-d14-WRC_R2	NS.2055.003.IDT_i7_69---IDT_i5_69.C9009-d14-WRC_R2	rumen	14
C9009-d21-WRC_R1	NS.2055.003.IDT_i7_68---IDT_i5_68.C9009-d21-WRC_R1	rumen	21
C9009-d21-WRC_R2	NS.2055.003.IDT_i7_68---IDT_i5_68.C9009-d21-WRC_R2	rumen	21
C9009-d28-WRC_R1	NS.2055.003.IDT_i7_9---IDT_i5_9.C9009-d28-WRC_R1	rumen	28
C9009-d28-WRC_R2	NS.2055.003.IDT_i7_9---IDT_i5_9.C9009-d28-WRC_R2	rumen	28
C9009-d2-WRC_R1	NS.2055.003.IDT_i7_278---IDT_i5_278.C9009-d2-WRC_R1	rumen	2
C9009-d2-WRC_R2	NS.2055.003.IDT_i7_278---IDT_i5_278.C9009-d2-WRC_R2	rumen	2
C9009-d7-WRC_R1	NS.2055.003.IDT_i7_55---IDT_i5_55.C9009-d7-WRC_R1	rumen	7
C9009-d7-WRC_R2	NS.2055.003.IDT_i7_55---IDT_i5_55.C9009-d7-WRC_R2	rumen	7
